vuln_id,asset_id,cve_id,cvss_score,epss_score,severity,status,discovery_date
VULN-0c87714e,AST-1008,CVE-2022-26134,3.8,0.007,Low,Risk Accepted,2026-05-26T22:09:16.424524
VULN-9d2d1979,AST-1035,CVE-2022-26134,3.8,0.008,Low,Risk Accepted,2026-07-22T22:09:16.424532
VULN-c49c5ca1,AST-1021,CVE-2023-23397,8.3,0.86,High,Open,2026-05-21T22:09:16.424540
VULN-edbb5494,AST-1041,CVE-2021-44228,8.8,0.061,High,Risk Accepted,2026-08-03T22:09:16.424548
VULN-33784c15,AST-1045,CVE-2023-23397,9.6,0.491,Critical,In Progress,2026-05-30T22:09:16.424555
VULN-5b950311,AST-1044,CVE-2019-0708,6.1,0.111,Medium,In Progress,2026-06-03T22:09:16.424566
VULN-d390eaf3,AST-1006,CVE-2023-23397,8.3,0.6,High,Risk Accepted,2026-08-13T22:09:16.424574
VULN-0aec23c4,AST-1008,CVE-2023-23397,7.2,0.588,High,In Progress,2026-06-20T22:09:16.424582
VULN-fd3fa384,AST-1028,CVE-2020-1472,4.1,0.021,Medium,In Progress,2026-08-24T22:09:16.424590
VULN-9e1c623e,AST-1032,CVE-2023-23397,2.3,0.024,Low,In Progress,2026-05-20T22:09:16.424597
VULN-3607def8,AST-1049,CVE-2019-0708,3.7,0.01,Low,Risk Accepted,2026-05-27T22:09:16.424606
VULN-0ab3f4ba,AST-1004,CVE-2019-0708,4.4,0.032,Medium,Open,2026-07-14T22:09:16.424614
VULN-bbbf0518,AST-1027,CVE-2023-23397,9.7,0.558,Critical,Risk Accepted,2026-08-17T22:09:16.424624
VULN-f6b441c7,AST-1002,CVE-2019-0708,8.3,0.381,High,In Progress,2026-07-01T22:09:16.424632
VULN-e72a006d,AST-1007,CVE-2021-44228,3.3,0.037,Low,Open,2026-08-23T22:09:16.424640
VULN-52704780,AST-1001,CVE-2019-0708,3.2,0.042,Low,Open,2026-07-01T22:09:16.424648
VULN-dea0cfdb,AST-1018,CVE-2019-0708,3.6,0.045,Low,Open,2026-08-16T22:09:16.424655
VULN-bc116e10,AST-1017,CVE-2020-1472,9.5,0.362,Critical,Open,2026-08-01T22:09:16.424663
VULN-63719f83,AST-1026,CVE-2023-23397,4.1,0.022,Medium,In Progress,2026-08-14T22:09:16.424671
VULN-89c3029c,AST-1042,CVE-2019-0708,9.0,0.25,Critical,Risk Accepted,2026-07-12T22:09:16.424678
VULN-f86ee039,AST-1008,CVE-2021-44228,9.8,0.917,Critical,In Progress,2026-05-22T22:09:16.424686
VULN-a514e95f,AST-1037,CVE-2023-23397,5.0,0.047,Medium,In Progress,2026-08-17T22:09:16.424695
VULN-fcb1e725,AST-1007,CVE-2023-23397,5.5,0.154,Medium,Open,2026-07-30T22:09:16.424703
VULN-21165ba9,AST-1002,CVE-2020-1472,4.6,0.026,Medium,In Progress,2026-05-30T22:09:16.424710
VULN-8366d5e1,AST-1043,CVE-2022-26134,6.8,0.261,Medium,Open,2026-08-12T22:09:16.424718
VULN-1a2e8f8c,AST-1031,CVE-2022-26134,9.1,0.792,Critical,Open,2026-06-03T22:09:16.424726
VULN-4874e703,AST-1026,CVE-2020-1472,9.1,0.74,Critical,In Progress,2026-08-10T22:09:16.424736
VULN-068284de,AST-1022,CVE-2023-23397,9.6,0.498,Critical,Open,2026-06-24T22:09:16.424744
VULN-9ca46478,AST-1000,CVE-2023-23397,5.3,0.082,Medium,In Progress,2026-08-07T22:09:16.424753
VULN-1be46c1e,AST-1034,CVE-2020-1472,2.2,0.003,Low,In Progress,2026-06-10T22:09:16.424762
VULN-06d9cf1c,AST-1049,CVE-2019-0708,4.1,0.093,Medium,Open,2026-08-22T22:09:16.424769
VULN-4093f6b0,AST-1041,CVE-2022-26134,7.4,0.899,High,In Progress,2026-06-13T22:09:16.424779
VULN-323caf00,AST-1040,CVE-2019-0708,7.7,0.607,High,In Progress,2026-05-30T22:09:16.424787
VULN-be56b4a8,AST-1033,CVE-2022-26134,8.9,0.443,High,Risk Accepted,2026-07-27T22:09:16.424794
VULN-8e33751e,AST-1038,CVE-2021-44228,9.5,0.817,Critical,Risk Accepted,2026-06-01T22:09:16.424803
VULN-c9cda024,AST-1041,CVE-2023-23397,5.9,0.934,Medium,In Progress,2026-07-23T22:09:16.424811
VULN-b71c6922,AST-1003,CVE-2023-23397,6.6,0.596,Medium,In Progress,2026-06-29T22:09:16.424818
VULN-14942b7e,AST-1002,CVE-2023-23397,5.3,0.447,Medium,Risk Accepted,2026-08-15T22:09:16.424826
VULN-3206ca69,AST-1048,CVE-2021-44228,5.5,0.466,Medium,Risk Accepted,2026-07-29T22:09:16.424834
VULN-07805e62,AST-1012,CVE-2022-26134,4.2,0.012,Medium,In Progress,2026-06-07T22:09:16.424842
VULN-b3004020,AST-1036,CVE-2021-44228,7.1,0.32,High,Open,2026-05-18T22:09:16.424850
VULN-8905de2c,AST-1017,CVE-2023-23397,4.3,0.051,Medium,Risk Accepted,2026-07-22T22:09:16.424857
VULN-a835b49b,AST-1024,CVE-2022-26134,3.3,0.014,Low,Open,2026-08-13T22:09:16.424865
VULN-b47a08bd,AST-1046,CVE-2019-0708,4.5,0.016,Medium,Open,2026-06-04T22:09:16.424873
VULN-190f7df1,AST-1020,CVE-2022-26134,4.9,0.099,Medium,Open,2026-05-19T22:09:16.424880
VULN-d8a8cd2f,AST-1033,CVE-2019-0708,3.3,0.061,Low,Open,2026-08-16T22:09:16.424888
VULN-e69121be,AST-1046,CVE-2020-1472,9.8,0.916,Critical,Open,2026-08-09T22:09:16.424896
VULN-8332d383,AST-1024,CVE-2021-44228,8.6,0.366,High,Risk Accepted,2026-07-18T22:09:16.424904
VULN-4b189093,AST-1015,CVE-2019-0708,4.8,0.041,Medium,Open,2026-08-08T22:09:16.424911
VULN-a3c2695c,AST-1023,CVE-2020-1472,2.4,0.094,Low,In Progress,2026-07-16T22:09:16.424919
VULN-3505a8dc,AST-1015,CVE-2021-44228,5.9,0.051,Medium,In Progress,2026-08-14T22:09:16.424927
VULN-883e4f54,AST-1045,CVE-2023-23397,6.9,0.302,Medium,In Progress,2026-08-25T22:09:16.424937
VULN-9a4ceadb,AST-1027,CVE-2023-23397,2.5,0.037,Low,In Progress,2026-07-10T22:09:16.424945
VULN-1081ec74,AST-1041,CVE-2021-44228,7.9,0.641,High,Risk Accepted,2026-07-11T22:09:16.424952
VULN-76959524,AST-1004,CVE-2019-0708,6.4,0.626,Medium,In Progress,2026-06-06T22:09:16.424960
VULN-eefdda31,AST-1038,CVE-2020-1472,8.8,0.219,High,Open,2026-05-30T22:09:16.424967
VULN-3a57e7b9,AST-1018,CVE-2023-23397,7.6,0.355,High,In Progress,2026-08-15T22:09:16.424976
VULN-8eb03751,AST-1006,CVE-2019-0708,9.7,0.62,Critical,In Progress,2026-07-02T22:09:16.424984
VULN-b95b485c,AST-1034,CVE-2020-1472,4.4,0.057,Medium,Risk Accepted,2026-06-30T22:09:16.424992
VULN-337d2270,AST-1042,CVE-2019-0708,9.1,0.148,Critical,Open,2026-05-24T22:09:16.424999
VULN-268350ad,AST-1028,CVE-2023-23397,10.0,0.029,Critical,Open,2026-05-31T22:09:16.425010
VULN-f617b2ed,AST-1031,CVE-2022-26134,5.6,0.319,Medium,Risk Accepted,2026-06-22T22:09:16.425018
VULN-703ea799,AST-1026,CVE-2021-44228,9.1,0.812,Critical,Open,2026-06-19T22:09:16.425025
VULN-3c30e4d6,AST-1000,CVE-2021-44228,9.9,0.641,Critical,In Progress,2026-06-07T22:09:16.425033
VULN-86b9da13,AST-1013,CVE-2020-1472,6.1,0.765,Medium,Risk Accepted,2026-08-03T22:09:16.425040
VULN-75791e27,AST-1029,CVE-2021-44228,8.9,0.051,High,Open,2026-08-01T22:09:16.425048
VULN-f4873261,AST-1038,CVE-2021-44228,7.1,0.135,High,In Progress,2026-07-23T22:09:16.425056
VULN-e544e9a1,AST-1027,CVE-2020-1472,2.9,0.028,Low,Open,2026-08-01T22:09:16.425063
VULN-5c4930b7,AST-1035,CVE-2020-1472,8.2,0.146,High,Risk Accepted,2026-07-28T22:09:16.425071
VULN-e091a7a2,AST-1006,CVE-2019-0708,9.3,0.698,Critical,In Progress,2026-08-21T22:09:16.425079
VULN-5c4e38d7,AST-1029,CVE-2019-0708,7.7,0.616,High,In Progress,2026-05-28T22:09:16.425089
VULN-583c75c9,AST-1002,CVE-2022-26134,3.0,0.053,Low,Risk Accepted,2026-07-24T22:09:16.425096
VULN-0f66b744,AST-1011,CVE-2023-23397,6.9,0.895,Medium,In Progress,2026-05-18T22:09:16.425104
VULN-3ef72387,AST-1049,CVE-2023-23397,2.8,0.067,Low,In Progress,2026-08-14T22:09:16.425111
VULN-ed9cb168,AST-1005,CVE-2019-0708,9.6,0.129,Critical,Risk Accepted,2026-05-18T22:09:16.425119
VULN-2880197a,AST-1035,CVE-2019-0708,5.6,0.088,Medium,Open,2026-07-09T22:09:16.425127
VULN-c8443e7d,AST-1002,CVE-2020-1472,8.6,0.681,High,Open,2026-06-24T22:09:16.425134
