event_id,timestamp,asset_id,mitre_technique_id,description,severity,source_ip,action_taken,downtime_hours_caused,records_compromised
EVT-7169ae17,2026-08-10T22:26:30.111121,AST-1048,T1059.001,PowerShell Execution,Medium,168.18.29.52,Allowed,0,0
EVT-4faee6f4,2026-08-09T15:26:30.111157,AST-1027,T1486,Data Encrypted for Impact (Ransomware),Critical,38.113.70.228,Alerted,0,0
EVT-ba66a89d,2026-08-16T16:26:30.111183,AST-1036,T1110.001,Password Guessing,Low,241.12.210.122,Alerted,0,0
EVT-6e85cf6e,2026-08-26T22:26:30.111211,AST-1007,T1078,Valid Accounts,Medium,88.210.157.142,Allowed,0,0
EVT-47f20d36,2026-08-06T09:26:30.111241,AST-1027,T1110.001,Password Guessing,Low,129.82.174.24,Alerted,0,0
EVT-0eebde83,2026-08-16T07:26:30.111271,AST-1011,T1110.001,Password Guessing,Low,21.190.73.30,Blocked,0,0
EVT-98719a3a,2026-08-10T19:26:30.111302,AST-1008,T1059.001,PowerShell Execution,Medium,133.185.191.209,Blocked,0,0
EVT-34eef971,2026-08-21T20:26:30.111333,AST-1003,T1110.001,Password Guessing,Low,81.185.127.234,Blocked,0,0
EVT-8b4b8d93,2026-08-07T10:26:30.111362,AST-1020,T1486,Data Encrypted for Impact (Ransomware),Critical,142.152.139.247,Alerted,0,0
EVT-f35268ea,2026-08-30T13:26:30.111391,AST-1011,T1078,Valid Accounts,Medium,6.98.38.10,Blocked,0,0
EVT-57ac1d01,2026-08-21T18:26:30.111418,AST-1014,T1059.001,PowerShell Execution,Medium,203.61.162.202,Blocked,0,0
EVT-c7a9485e,2026-08-21T11:26:30.111445,AST-1013,T1110.001,Password Guessing,Low,107.107.148.146,Allowed,0,0
EVT-cdd3f143,2026-08-20T12:26:30.111471,AST-1029,T1003.001,LSASS Memory Credential Dumping,High,78.224.230.112,Blocked,0,0
EVT-8916cbb6,2026-08-07T21:26:30.111495,AST-1043,T1003.001,LSASS Memory Credential Dumping,High,216.34.24.106,Blocked,0,0
EVT-d2c05a7b,2026-08-18T07:26:30.111521,AST-1005,T1486,Data Encrypted for Impact (Ransomware),Critical,220.107.2.30,Alerted,0,0
EVT-d420aedd,2026-08-29T03:26:30.111549,AST-1040,T1003.001,LSASS Memory Credential Dumping,High,29.142.210.98,Blocked,0,0
EVT-976a8eec,2026-08-22T04:26:30.111586,AST-1012,T1078,Valid Accounts,Medium,143.126.161.163,Allowed,0,0
EVT-61e14e6c,2026-08-17T12:26:30.111613,AST-1013,T1110.001,Password Guessing,Low,67.98.112.62,Alerted,0,0
EVT-547ddd99,2026-08-23T13:26:30.111639,AST-1028,T1003.001,LSASS Memory Credential Dumping,High,101.239.152.141,Blocked,0,0
EVT-1f6576f0,2026-08-03T20:26:30.111666,AST-1023,T1003.001,LSASS Memory Credential Dumping,High,28.183.242.203,Alerted,0,0
EVT-5877566b,2026-08-11T08:26:30.111693,AST-1028,T1003.001,LSASS Memory Credential Dumping,High,190.209.206.160,Allowed,0,30734
EVT-604d36ea,2026-08-13T15:26:30.111738,AST-1041,T1059.001,PowerShell Execution,Medium,195.232.79.125,Allowed,0,0
EVT-f4ffaab9,2026-08-25T05:26:30.111768,AST-1049,T1486,Data Encrypted for Impact (Ransomware),Critical,3.219.148.209,Alerted,0,0
EVT-d2131aaa,2026-08-17T10:26:30.111797,AST-1011,T1059.001,PowerShell Execution,Medium,92.118.32.40,Allowed,0,0
EVT-e4292534,2026-08-25T13:26:30.111829,AST-1047,T1059.001,PowerShell Execution,Medium,66.251.132.11,Allowed,0,0
EVT-a8ccc994,2026-08-25T12:26:30.111861,AST-1026,T1110.001,Password Guessing,Low,187.9.255.64,Alerted,0,0
EVT-5fe84d6c,2026-08-14T02:26:30.111892,AST-1021,T1078,Valid Accounts,Medium,72.247.127.75,Alerted,0,0
EVT-66193e66,2026-08-27T20:26:30.111923,AST-1036,T1486,Data Encrypted for Impact (Ransomware),Critical,14.159.48.64,Allowed,33,0
EVT-2c2a3200,2026-08-03T16:26:30.111954,AST-1015,T1059.001,PowerShell Execution,Medium,188.253.254.20,Alerted,0,0
EVT-13e6dc7c,2026-08-06T03:26:30.111983,AST-1017,T1003.001,LSASS Memory Credential Dumping,High,59.198.57.128,Alerted,0,0
EVT-ec048a67,2026-08-05T14:26:30.112014,AST-1030,T1059.001,PowerShell Execution,Medium,12.140.244.136,Blocked,0,0
EVT-4a8219ec,2026-08-29T21:26:30.112039,AST-1048,T1110.001,Password Guessing,Low,157.218.9.24,Alerted,0,0
EVT-72519921,2026-08-25T22:26:30.112110,AST-1028,T1486,Data Encrypted for Impact (Ransomware),Critical,208.219.48.228,Alerted,0,0
EVT-f026efb6,2026-08-31T11:26:30.112143,AST-1041,T1078,Valid Accounts,Medium,138.106.54.10,Allowed,0,0
EVT-26f0a074,2026-08-30T23:26:30.112174,AST-1006,T1486,Data Encrypted for Impact (Ransomware),Critical,79.229.254.193,Alerted,0,0
EVT-8d5bc67f,2026-08-24T12:26:30.112203,AST-1027,T1003.001,LSASS Memory Credential Dumping,High,46.254.107.3,Alerted,0,0
EVT-baf6c6ee,2026-08-25T02:26:30.112244,AST-1020,T1486,Data Encrypted for Impact (Ransomware),Critical,223.66.109.60,Blocked,0,0
EVT-4d80b62e,2026-08-17T14:26:30.112281,AST-1032,T1110.001,Password Guessing,Low,56.23.63.234,Alerted,0,0
EVT-181579b2,2026-08-10T17:26:30.112311,AST-1018,T1003.001,LSASS Memory Credential Dumping,High,65.127.178.106,Alerted,0,0
EVT-078a4fac,2026-08-13T13:26:30.112342,AST-1038,T1110.001,Password Guessing,Low,96.189.12.18,Alerted,0,0
EVT-bb7d54a3,2026-08-08T09:26:30.112371,AST-1018,T1110.001,Password Guessing,Low,251.1.64.170,Blocked,0,0
EVT-0a6e7cb8,2026-08-08T06:26:30.112403,AST-1012,T1059.001,PowerShell Execution,Medium,246.233.213.192,Allowed,0,0
EVT-f76f9704,2026-08-16T08:26:30.112442,AST-1007,T1003.001,LSASS Memory Credential Dumping,High,231.208.187.41,Allowed,0,36981
EVT-6411fab3,2026-08-23T15:26:30.112474,AST-1016,T1110.001,Password Guessing,Low,149.151.239.129,Alerted,0,0
EVT-15bc0992,2026-08-31T01:26:30.112506,AST-1034,T1486,Data Encrypted for Impact (Ransomware),Critical,77.57.69.186,Allowed,19,0
EVT-990223f7,2026-08-31T07:26:30.112542,AST-1001,T1059.001,PowerShell Execution,Medium,202.173.12.254,Allowed,0,0
EVT-81d4bfe5,2026-08-28T09:26:30.112571,AST-1001,T1110.001,Password Guessing,Low,230.210.56.15,Alerted,0,0
EVT-faf49eca,2026-08-16T17:26:30.112600,AST-1000,T1059.001,PowerShell Execution,Medium,104.219.48.118,Blocked,0,0
EVT-0dd03a0d,2026-08-20T18:26:30.112629,AST-1046,T1110.001,Password Guessing,Low,119.193.128.249,Alerted,0,0
EVT-bb263959,2026-08-11T02:26:30.112658,AST-1021,T1110.001,Password Guessing,Low,202.59.117.31,Allowed,0,0
EVT-54a86d07,2026-08-30T04:26:30.112686,AST-1035,T1110.001,Password Guessing,Low,77.159.41.177,Blocked,0,0
EVT-1b7a07e5,2026-08-17T23:26:30.112713,AST-1037,T1003.001,LSASS Memory Credential Dumping,High,143.43.108.159,Blocked,0,0
EVT-8b3bb406,2026-08-25T23:26:30.112739,AST-1035,T1059.001,PowerShell Execution,Medium,14.191.233.183,Blocked,0,0
EVT-b75818c3,2026-08-05T19:26:30.112768,AST-1004,T1110.001,Password Guessing,Low,169.205.162.206,Allowed,0,0
EVT-0e453748,2026-08-08T00:26:30.112793,AST-1030,T1059.001,PowerShell Execution,Medium,184.203.201.132,Alerted,0,0
EVT-aa96c366,2026-08-06T13:26:30.112823,AST-1005,T1059.001,PowerShell Execution,Medium,202.254.21.114,Allowed,0,0
EVT-3c26818a,2026-08-27T22:26:30.112845,AST-1023,T1003.001,LSASS Memory Credential Dumping,High,16.168.165.4,Blocked,0,0
EVT-9f1e950b,2026-08-07T01:26:30.112867,AST-1022,T1078,Valid Accounts,Medium,50.86.9.61,Blocked,0,0
EVT-2a5f4adf,2026-08-17T12:26:30.112894,AST-1031,T1003.001,LSASS Memory Credential Dumping,High,210.225.195.10,Alerted,0,0
EVT-faed47de,2026-08-16T10:26:30.112920,AST-1018,T1486,Data Encrypted for Impact (Ransomware),Critical,95.78.147.84,Blocked,0,0
EVT-34dafceb,2026-08-14T11:26:30.112948,AST-1035,T1059.001,PowerShell Execution,Medium,89.188.149.1,Allowed,0,0
EVT-c8a018c3,2026-08-07T02:26:30.112978,AST-1032,T1486,Data Encrypted for Impact (Ransomware),Critical,40.104.106.65,Allowed,18,0
EVT-95beda80,2026-08-29T08:26:30.113006,AST-1019,T1110.001,Password Guessing,Low,161.246.221.252,Allowed,0,0
EVT-633d8542,2026-09-01T10:26:30.113032,AST-1022,T1110.001,Password Guessing,Low,113.85.221.99,Allowed,0,0
EVT-302f98e5,2026-08-04T22:26:30.113065,AST-1046,T1059.001,PowerShell Execution,Medium,89.164.142.112,Alerted,0,0
EVT-54683ed9,2026-08-17T04:26:30.113091,AST-1032,T1078,Valid Accounts,Medium,61.88.97.62,Allowed,0,0
EVT-c1da1be4,2026-08-29T16:26:30.113119,AST-1042,T1059.001,PowerShell Execution,Medium,235.109.141.21,Allowed,0,0
EVT-bf695600,2026-08-12T20:26:30.113146,AST-1001,T1003.001,LSASS Memory Credential Dumping,High,182.100.215.235,Alerted,0,0
EVT-52071bc7,2026-08-19T18:26:30.113182,AST-1039,T1059.001,PowerShell Execution,Medium,222.213.227.90,Blocked,0,0
EVT-4b28e5bd,2026-08-06T15:26:30.113210,AST-1001,T1110.001,Password Guessing,Low,189.117.97.40,Allowed,0,0
EVT-477c4ce6,2026-08-20T13:26:30.113240,AST-1029,T1078,Valid Accounts,Medium,67.44.240.95,Alerted,0,0
EVT-ced0956a,2026-08-24T04:26:30.113270,AST-1034,T1486,Data Encrypted for Impact (Ransomware),Critical,76.102.163.79,Allowed,60,0
EVT-07d18be7,2026-08-31T08:26:30.113298,AST-1033,T1486,Data Encrypted for Impact (Ransomware),Critical,105.178.205.10,Blocked,0,0
EVT-7e7f20d1,2026-08-27T19:26:30.113313,AST-1025,T1110.001,Password Guessing,Low,71.49.17.2,Alerted,0,0
EVT-6d8ea6ad,2026-08-15T14:26:30.113326,AST-1031,T1059.001,PowerShell Execution,Medium,68.92.210.192,Allowed,0,0
EVT-0fb51f5c,2026-08-04T21:26:30.113339,AST-1002,T1110.001,Password Guessing,Low,74.104.237.203,Allowed,0,0
EVT-2dad99a4,2026-08-09T17:26:30.113351,AST-1021,T1078,Valid Accounts,Medium,49.16.119.50,Blocked,0,0
EVT-d990ac68,2026-08-29T08:26:30.113363,AST-1027,T1110.001,Password Guessing,Low,96.148.192.147,Allowed,0,0
EVT-922e0bdc,2026-08-23T16:26:30.113375,AST-1028,T1110.001,Password Guessing,Low,218.145.160.66,Blocked,0,0
EVT-40d54947,2026-08-19T06:26:30.113389,AST-1013,T1110.001,Password Guessing,Low,163.17.187.122,Alerted,0,0
EVT-58a0fe2d,2026-08-29T11:26:30.113401,AST-1048,T1486,Data Encrypted for Impact (Ransomware),Critical,33.246.203.236,Blocked,0,0
EVT-576585a9,2026-09-01T06:26:30.113414,AST-1044,T1078,Valid Accounts,Medium,150.226.216.64,Alerted,0,0
EVT-d7c8c575,2026-08-19T07:26:30.113426,AST-1029,T1078,Valid Accounts,Medium,216.206.98.68,Allowed,0,0
EVT-bba3223e,2026-08-09T21:26:30.113438,AST-1036,T1003.001,LSASS Memory Credential Dumping,High,124.234.51.126,Blocked,0,0
EVT-5eefb1a0,2026-08-09T13:26:30.113450,AST-1026,T1059.001,PowerShell Execution,Medium,245.147.215.113,Alerted,0,0
EVT-be5475f6,2026-08-28T00:26:30.113465,AST-1032,T1078,Valid Accounts,Medium,254.255.182.11,Alerted,0,0
EVT-3631e625,2026-08-08T21:26:30.113478,AST-1005,T1059.001,PowerShell Execution,Medium,227.91.218.21,Alerted,0,0
EVT-ff0ff1b1,2026-08-06T22:26:30.113490,AST-1029,T1059.001,PowerShell Execution,Medium,212.226.169.82,Alerted,0,0
EVT-e9fd059f,2026-08-13T18:26:30.113503,AST-1032,T1110.001,Password Guessing,Low,107.97.63.241,Alerted,0,0
EVT-ce2e213e,2026-08-03T01:26:30.113515,AST-1018,T1078,Valid Accounts,Medium,4.126.119.91,Blocked,0,0
EVT-3e8ad72e,2026-08-23T23:26:30.113528,AST-1037,T1078,Valid Accounts,Medium,39.6.128.238,Alerted,0,0
EVT-1a2b8d1a,2026-08-11T19:26:30.113539,AST-1029,T1110.001,Password Guessing,Low,128.214.239.223,Alerted,0,0
EVT-3c33d57e,2026-08-24T09:26:30.113551,AST-1047,T1110.001,Password Guessing,Low,166.192.20.162,Allowed,0,0
EVT-96c56a47,2026-08-13T21:26:30.113563,AST-1009,T1078,Valid Accounts,Medium,202.74.210.207,Blocked,0,0
EVT-c665e8b9,2026-08-21T10:26:30.113576,AST-1003,T1110.001,Password Guessing,Low,219.185.171.68,Allowed,0,0
EVT-6a12a591,2026-08-20T08:26:30.113587,AST-1016,T1110.001,Password Guessing,Low,129.97.168.41,Alerted,0,0
EVT-7cb9e9d6,2026-08-31T09:26:30.113599,AST-1037,T1110.001,Password Guessing,Low,51.143.161.168,Blocked,0,0
EVT-eb07023e,2026-08-09T13:26:30.113612,AST-1029,T1059.001,PowerShell Execution,Medium,116.237.174.247,Allowed,0,0
EVT-a6ffed3e,2026-08-27T06:26:30.113625,AST-1045,T1078,Valid Accounts,Medium,13.66.24.215,Alerted,0,0
EVT-11d7e731,2026-08-11T11:26:30.113636,AST-1033,T1110.001,Password Guessing,Low,231.64.177.184,Allowed,0,0
EVT-b724e9bd,2026-09-01T06:26:30.113648,AST-1021,T1078,Valid Accounts,Medium,1.202.156.82,Allowed,0,0
EVT-094b77e5,2026-08-17T09:26:30.113659,AST-1006,T1059.001,PowerShell Execution,Medium,104.78.176.208,Blocked,0,0
EVT-b2895c1e,2026-08-24T08:26:30.113672,AST-1043,T1003.001,LSASS Memory Credential Dumping,High,24.10.22.122,Allowed,0,43797
EVT-562e9234,2026-08-28T04:26:30.113687,AST-1032,T1486,Data Encrypted for Impact (Ransomware),Critical,14.189.15.79,Allowed,42,0
EVT-785ff809,2026-08-11T08:26:30.113701,AST-1021,T1003.001,LSASS Memory Credential Dumping,High,161.178.117.22,Allowed,0,49338
EVT-d2834907,2026-08-08T23:26:30.113714,AST-1026,T1486,Data Encrypted for Impact (Ransomware),Critical,100.6.56.151,Allowed,57,0
EVT-d7b9147c,2026-08-22T06:26:30.113728,AST-1002,T1003.001,LSASS Memory Credential Dumping,High,251.254.58.53,Allowed,0,45429
EVT-80abecc0,2026-08-11T20:26:30.113741,AST-1026,T1003.001,LSASS Memory Credential Dumping,High,6.51.177.31,Alerted,0,0
EVT-7461a31f,2026-08-08T15:26:30.113753,AST-1003,T1059.001,PowerShell Execution,Medium,158.139.91.160,Blocked,0,0
EVT-4a8680e0,2026-08-12T15:26:30.113764,AST-1015,T1486,Data Encrypted for Impact (Ransomware),Critical,25.202.148.35,Blocked,0,0
EVT-e091c4e0,2026-08-18T15:26:30.113776,AST-1009,T1110.001,Password Guessing,Low,100.149.88.223,Allowed,0,0
EVT-be42195a,2026-08-23T04:26:30.113786,AST-1048,T1110.001,Password Guessing,Low,72.146.110.220,Allowed,0,0
EVT-080d8911,2026-08-22T23:26:30.113797,AST-1019,T1110.001,Password Guessing,Low,55.5.201.88,Allowed,0,0
EVT-e69bdbb8,2026-08-09T16:26:30.113809,AST-1024,T1059.001,PowerShell Execution,Medium,113.183.145.77,Alerted,0,0
EVT-4f2b4e7d,2026-08-07T22:26:30.113823,AST-1003,T1078,Valid Accounts,Medium,162.157.66.142,Blocked,0,0
EVT-814c9052,2026-08-22T00:26:30.113872,AST-1018,T1059.001,PowerShell Execution,Medium,154.111.144.122,Blocked,0,0
EVT-29bd76ed,2026-08-06T05:26:30.113920,AST-1034,T1059.001,PowerShell Execution,Medium,222.122.59.210,Allowed,0,0
EVT-b1eecf5a,2026-08-29T04:26:30.113960,AST-1042,T1110.001,Password Guessing,Low,202.211.8.250,Allowed,0,0
EVT-b6e30dc1,2026-08-29T18:26:30.113995,AST-1044,T1110.001,Password Guessing,Low,175.165.235.136,Allowed,0,0
EVT-f6e27e6b,2026-08-11T08:26:30.114013,AST-1041,T1078,Valid Accounts,Medium,82.64.224.153,Alerted,0,0
EVT-c2edce59,2026-08-22T16:26:30.114025,AST-1009,T1110.001,Password Guessing,Low,98.147.99.161,Allowed,0,0
EVT-b2fe6cc5,2026-08-13T04:26:30.114036,AST-1026,T1003.001,LSASS Memory Credential Dumping,High,2.36.77.65,Allowed,0,16189
EVT-96b40c74,2026-08-25T18:26:30.114049,AST-1046,T1078,Valid Accounts,Medium,52.197.112.132,Alerted,0,0
EVT-4146f797,2026-08-22T14:26:30.114059,AST-1010,T1078,Valid Accounts,Medium,176.200.224.108,Alerted,0,0
EVT-a2c08dd3,2026-08-17T16:26:30.114069,AST-1040,T1078,Valid Accounts,Medium,79.143.151.114,Alerted,0,0
EVT-5dd4619d,2026-08-23T09:26:30.114080,AST-1043,T1486,Data Encrypted for Impact (Ransomware),Critical,240.158.40.19,Allowed,35,0
EVT-36f30519,2026-08-05T06:26:30.114092,AST-1020,T1078,Valid Accounts,Medium,165.192.139.47,Blocked,0,0
EVT-f1caf4d7,2026-08-05T23:26:30.114107,AST-1038,T1059.001,PowerShell Execution,Medium,32.62.97.104,Alerted,0,0
EVT-51d74dd7,2026-08-11T23:26:30.114118,AST-1038,T1110.001,Password Guessing,Low,247.124.134.155,Allowed,0,0
EVT-5b935058,2026-08-08T12:26:30.114129,AST-1039,T1003.001,LSASS Memory Credential Dumping,High,122.242.183.104,Alerted,0,0
EVT-f490783c,2026-08-28T09:26:30.114138,AST-1005,T1486,Data Encrypted for Impact (Ransomware),Critical,137.118.249.75,Blocked,0,0
EVT-0afc1fe7,2026-08-21T07:26:30.114150,AST-1012,T1486,Data Encrypted for Impact (Ransomware),Critical,116.73.38.235,Allowed,16,0
EVT-ab10bbb1,2026-08-18T22:26:30.114162,AST-1040,T1486,Data Encrypted for Impact (Ransomware),Critical,193.248.93.190,Alerted,0,0
EVT-f9035591,2026-08-15T12:26:30.114174,AST-1049,T1059.001,PowerShell Execution,Medium,205.250.200.95,Alerted,0,0
EVT-92b0ff4f,2026-08-03T07:26:30.114185,AST-1030,T1003.001,LSASS Memory Credential Dumping,High,143.78.105.65,Blocked,0,0
EVT-32156933,2026-08-29T23:26:30.114195,AST-1027,T1078,Valid Accounts,Medium,91.211.145.31,Alerted,0,0
EVT-e831cb67,2026-08-06T02:26:30.114206,AST-1035,T1110.001,Password Guessing,Low,79.94.224.212,Blocked,0,0
EVT-7063cd97,2026-08-07T15:26:30.114216,AST-1029,T1078,Valid Accounts,Medium,26.242.42.190,Alerted,0,0
EVT-14dddb89,2026-08-26T23:26:30.114231,AST-1015,T1059.001,PowerShell Execution,Medium,80.130.39.61,Blocked,0,0
EVT-b23847b9,2026-08-06T13:26:30.114241,AST-1040,T1486,Data Encrypted for Impact (Ransomware),Critical,89.199.1.166,Blocked,0,0
EVT-c1a0f0f7,2026-08-10T19:26:30.114252,AST-1031,T1078,Valid Accounts,Medium,31.246.69.93,Alerted,0,0
EVT-7ba282b7,2026-08-06T07:26:30.114264,AST-1027,T1059.001,PowerShell Execution,Medium,175.21.30.87,Allowed,0,0
EVT-034bb674,2026-08-23T10:26:30.114275,AST-1005,T1486,Data Encrypted for Impact (Ransomware),Critical,218.246.21.163,Allowed,31,0
EVT-250111fc,2026-08-19T00:26:30.114286,AST-1011,T1486,Data Encrypted for Impact (Ransomware),Critical,32.67.50.106,Alerted,0,0
EVT-e25e7bc1,2026-08-13T11:26:30.114297,AST-1003,T1003.001,LSASS Memory Credential Dumping,High,155.26.191.8,Allowed,0,40031
EVT-6a5224f3,2026-08-09T05:26:30.114308,AST-1024,T1059.001,PowerShell Execution,Medium,136.13.120.4,Alerted,0,0
EVT-dea2fa5d,2026-08-16T13:26:30.114320,AST-1006,T1059.001,PowerShell Execution,Medium,210.20.145.5,Alerted,0,0
EVT-c1494a45,2026-08-15T15:26:30.114330,AST-1006,T1486,Data Encrypted for Impact (Ransomware),Critical,196.124.191.189,Alerted,0,0
EVT-2e7f83d0,2026-08-07T13:26:30.114340,AST-1040,T1110.001,Password Guessing,Low,11.231.235.70,Alerted,0,0
EVT-b4c7836d,2026-08-18T23:26:30.114354,AST-1049,T1003.001,LSASS Memory Credential Dumping,High,111.20.199.223,Allowed,0,14394
EVT-8d723c0c,2026-08-08T05:26:30.114364,AST-1015,T1078,Valid Accounts,Medium,131.211.225.136,Alerted,0,0
EVT-3ad5ecf0,2026-08-25T13:26:30.114375,AST-1049,T1078,Valid Accounts,Medium,13.226.245.72,Blocked,0,0
EVT-ae856be7,2026-08-16T09:26:30.114386,AST-1032,T1110.001,Password Guessing,Low,27.246.42.67,Blocked,0,0
EVT-76ce9539,2026-08-24T14:26:30.114399,AST-1016,T1078,Valid Accounts,Medium,183.117.28.203,Alerted,0,0
EVT-014f595f,2026-08-16T10:26:30.114412,AST-1010,T1003.001,LSASS Memory Credential Dumping,High,17.71.19.165,Alerted,0,0
EVT-eebf9145,2026-08-23T02:26:30.114424,AST-1032,T1078,Valid Accounts,Medium,72.238.216.241,Alerted,0,0
EVT-8e4f3842,2026-08-15T14:26:30.114435,AST-1049,T1486,Data Encrypted for Impact (Ransomware),Critical,247.197.129.121,Blocked,0,0
EVT-6c108e40,2026-08-14T13:26:30.114445,AST-1041,T1003.001,LSASS Memory Credential Dumping,High,33.67.1.136,Alerted,0,0
EVT-913d6fcb,2026-09-01T12:26:30.114456,AST-1004,T1078,Valid Accounts,Medium,3.111.164.195,Alerted,0,0
