vuln_id,asset_id,cve_id,cvss_score,epss_score,severity,status,discovery_date
VULN-431e6f63,AST-1013,CVE-2019-0708,5.5,0.104,Medium,Open,2026-08-15T19:26:30.109827
VULN-15b8b98d,AST-1035,CVE-2019-0708,2.6,0.01,Low,Risk Accepted,2026-06-20T19:26:30.109833
VULN-4b346610,AST-1017,CVE-2022-26134,7.7,0.397,High,Risk Accepted,2026-07-23T19:26:30.109839
VULN-5532738c,AST-1000,CVE-2022-26134,8.0,0.115,High,In Progress,2026-05-29T19:26:30.109846
VULN-9b540d9c,AST-1049,CVE-2023-23397,5.7,0.766,Medium,Open,2026-08-05T19:26:30.109851
VULN-99552ffb,AST-1040,CVE-2021-44228,8.0,0.283,High,In Progress,2026-06-20T19:26:30.109857
VULN-b5fbc3d8,AST-1010,CVE-2023-23397,6.0,0.352,Medium,Open,2026-05-26T19:26:30.109862
VULN-ce78bce9,AST-1042,CVE-2020-1472,2.2,0.092,Low,Risk Accepted,2026-08-13T19:26:30.109868
VULN-6725c264,AST-1005,CVE-2019-0708,2.1,0.027,Low,Risk Accepted,2026-06-04T19:26:30.109873
VULN-1e46dd66,AST-1042,CVE-2019-0708,9.5,0.256,Critical,Risk Accepted,2026-07-14T19:26:30.109878
VULN-f54b594f,AST-1005,CVE-2020-1472,5.9,0.545,Medium,Risk Accepted,2026-06-07T19:26:30.109884
VULN-12ed8d54,AST-1004,CVE-2023-23397,5.9,0.763,Medium,In Progress,2026-07-01T19:26:30.109889
VULN-3bdfa8e3,AST-1003,CVE-2021-44228,8.3,0.255,High,Risk Accepted,2026-08-20T19:26:30.109896
VULN-1a7bb19f,AST-1039,CVE-2019-0708,8.0,0.784,High,In Progress,2026-05-29T19:26:30.109902
VULN-6d55c71d,AST-1030,CVE-2019-0708,7.8,0.855,High,Open,2026-08-10T19:26:30.109907
VULN-2847c060,AST-1034,CVE-2021-44228,8.8,0.761,High,Open,2026-08-29T19:26:30.109912
VULN-fdeed8c5,AST-1046,CVE-2019-0708,5.8,0.241,Medium,Risk Accepted,2026-08-02T19:26:30.109918
VULN-3aca90dc,AST-1020,CVE-2021-44228,2.6,0.065,Low,Risk Accepted,2026-07-04T19:26:30.109923
VULN-1bf6d8af,AST-1047,CVE-2021-44228,2.4,0.025,Low,Risk Accepted,2026-07-22T19:26:30.109928
VULN-4d93c8f8,AST-1029,CVE-2021-44228,2.5,0.03,Low,Open,2026-06-20T19:26:30.109934
VULN-327d4314,AST-1020,CVE-2021-44228,7.0,0.488,High,Risk Accepted,2026-08-15T19:26:30.109939
VULN-96087470,AST-1023,CVE-2023-23397,7.4,0.874,High,Risk Accepted,2026-08-02T19:26:30.109944
VULN-60b6c9df,AST-1040,CVE-2022-26134,3.0,0.012,Low,Open,2026-08-09T19:26:30.109952
VULN-1c051aeb,AST-1006,CVE-2021-44228,2.9,0.043,Low,In Progress,2026-06-12T19:26:30.109957
VULN-8d934d7a,AST-1010,CVE-2020-1472,6.7,0.648,Medium,Open,2026-05-24T19:26:30.109962
VULN-d4f2893d,AST-1010,CVE-2021-44228,6.3,0.048,Medium,Open,2026-07-19T19:26:30.109967
VULN-cb92dd1f,AST-1007,CVE-2023-23397,9.4,0.514,Critical,Risk Accepted,2026-07-14T19:26:30.109972
VULN-5700cd2c,AST-1025,CVE-2020-1472,8.2,0.303,High,Risk Accepted,2026-06-12T19:26:30.109978
VULN-8f13b1d0,AST-1029,CVE-2019-0708,5.3,0.774,Medium,In Progress,2026-06-19T19:26:30.109983
VULN-fb05f50a,AST-1028,CVE-2023-23397,7.1,0.844,High,Open,2026-08-06T19:26:30.109988
VULN-3fc6f9c6,AST-1026,CVE-2020-1472,7.2,0.807,High,Risk Accepted,2026-06-11T19:26:30.109994
VULN-7bdbbe7a,AST-1044,CVE-2020-1472,3.0,0.05,Low,Open,2026-08-23T19:26:30.109999
VULN-13e54fa5,AST-1035,CVE-2019-0708,9.2,0.074,Critical,Risk Accepted,2026-08-17T19:26:30.110004
VULN-85b3b559,AST-1016,CVE-2021-44228,3.6,0.082,Low,Open,2026-08-18T19:26:30.110009
VULN-7d702256,AST-1019,CVE-2021-44228,3.0,0.007,Low,Open,2026-08-22T19:26:30.110016
VULN-05263b52,AST-1019,CVE-2020-1472,3.2,0.074,Low,Risk Accepted,2026-06-20T19:26:30.110023
VULN-42e78341,AST-1038,CVE-2022-26134,8.9,0.846,High,Risk Accepted,2026-06-26T19:26:30.110028
VULN-74ae008f,AST-1002,CVE-2022-26134,5.5,0.679,Medium,Risk Accepted,2026-06-12T19:26:30.110034
VULN-cfa90afb,AST-1010,CVE-2023-23397,7.0,0.741,High,In Progress,2026-08-20T19:26:30.110040
VULN-207026c3,AST-1049,CVE-2022-26134,2.8,0.086,Low,Risk Accepted,2026-07-30T19:26:30.110045
VULN-167c89a8,AST-1013,CVE-2022-26134,2.9,0.093,Low,Open,2026-07-04T19:26:30.110051
VULN-d0cdce09,AST-1019,CVE-2022-26134,3.3,0.098,Low,In Progress,2026-08-16T19:26:30.110063
VULN-f66600b4,AST-1003,CVE-2022-26134,3.4,0.006,Low,Open,2026-07-20T19:26:30.110068
VULN-3fc530cc,AST-1029,CVE-2020-1472,2.4,0.095,Low,Risk Accepted,2026-07-27T19:26:30.110074
VULN-f5ef91d9,AST-1000,CVE-2023-23397,5.4,0.626,Medium,Open,2026-08-20T19:26:30.110079
VULN-458dc60a,AST-1017,CVE-2022-26134,8.5,0.713,High,In Progress,2026-06-04T19:26:30.110084
VULN-87c8b890,AST-1044,CVE-2022-26134,5.7,0.674,Medium,In Progress,2026-07-28T19:26:30.110091
VULN-e4249e4e,AST-1013,CVE-2023-23397,7.0,0.138,High,Risk Accepted,2026-07-01T19:26:30.110097
VULN-76b57731,AST-1040,CVE-2019-0708,4.5,0.06,Medium,In Progress,2026-08-11T19:26:30.110102
VULN-5f619a9c,AST-1038,CVE-2022-26134,5.8,0.425,Medium,Open,2026-07-09T19:26:30.110108
VULN-cd9226d7,AST-1003,CVE-2021-44228,3.2,0.013,Low,Open,2026-07-03T19:26:30.110114
VULN-2f9f7af8,AST-1048,CVE-2021-44228,6.9,0.089,Medium,In Progress,2026-06-16T19:26:30.110119
VULN-53aabb8e,AST-1001,CVE-2020-1472,8.8,0.838,High,Open,2026-08-15T19:26:30.110124
VULN-0f06a748,AST-1003,CVE-2022-26134,8.4,0.405,High,In Progress,2026-06-06T19:26:30.110130
VULN-de0bc533,AST-1026,CVE-2020-1472,3.5,0.073,Low,Open,2026-08-18T19:26:30.110135
VULN-6dca0069,AST-1038,CVE-2023-23397,4.4,0.006,Medium,In Progress,2026-06-23T19:26:30.110143
VULN-0a444a3c,AST-1027,CVE-2021-44228,7.3,0.37,High,Open,2026-08-14T19:26:30.110148
VULN-8f0a9ce1,AST-1018,CVE-2021-44228,2.6,0.011,Low,In Progress,2026-06-07T19:26:30.110154
VULN-fd60742a,AST-1013,CVE-2022-26134,8.3,0.39,High,Open,2026-07-10T19:26:30.110160
VULN-5def516e,AST-1015,CVE-2023-23397,9.3,0.779,Critical,Open,2026-07-19T19:26:30.110166
VULN-5e181897,AST-1019,CVE-2023-23397,8.5,0.116,High,Risk Accepted,2026-08-03T19:26:30.110171
VULN-02fb65b3,AST-1036,CVE-2023-23397,9.6,0.237,Critical,Open,2026-07-25T19:26:30.110178
VULN-e8317f3b,AST-1034,CVE-2020-1472,4.4,0.079,Medium,Open,2026-06-25T19:26:30.110183
VULN-23526ece,AST-1009,CVE-2019-0708,6.5,0.802,Medium,Open,2026-08-14T19:26:30.110188
VULN-b78fa8c8,AST-1018,CVE-2020-1472,8.0,0.031,High,Open,2026-08-05T19:26:30.110194
VULN-5a432b45,AST-1019,CVE-2023-23397,4.6,0.056,Medium,Open,2026-05-30T19:26:30.110200
VULN-c864f31f,AST-1006,CVE-2023-23397,3.5,0.059,Low,Risk Accepted,2026-05-24T19:26:30.110206
VULN-4038e4ee,AST-1011,CVE-2021-44228,6.9,0.146,Medium,Risk Accepted,2026-07-20T19:26:30.110212
VULN-13ea0115,AST-1047,CVE-2021-44228,8.0,0.527,High,In Progress,2026-08-18T19:26:30.110218
VULN-5acbee41,AST-1026,CVE-2022-26134,7.4,0.681,High,In Progress,2026-06-02T19:26:30.110223
VULN-8f8bd172,AST-1043,CVE-2021-44228,7.4,0.404,High,Risk Accepted,2026-08-13T19:26:30.110229
VULN-c5b81a83,AST-1049,CVE-2020-1472,9.4,0.94,Critical,Open,2026-07-06T19:26:30.110234
VULN-fc5efb03,AST-1020,CVE-2020-1472,8.1,0.476,High,Risk Accepted,2026-07-15T19:26:30.110240
VULN-924ba950,AST-1030,CVE-2020-1472,8.4,0.716,High,Open,2026-08-09T19:26:30.110245
VULN-0384683e,AST-1000,CVE-2021-44228,2.2,0.055,Low,Risk Accepted,2026-05-30T19:26:30.110251
VULN-df671033,AST-1006,CVE-2021-44228,8.0,0.287,High,Open,2026-07-23T19:26:30.110257
VULN-de6bef6f,AST-1024,CVE-2022-26134,6.7,0.123,Medium,Risk Accepted,2026-07-07T19:26:30.110262
VULN-ff502447,AST-1000,CVE-2023-23397,6.8,0.812,Medium,Open,2026-06-17T19:26:30.110269
VULN-4c72d91a,AST-1010,CVE-2023-23397,3.7,0.085,Low,In Progress,2026-06-02T19:26:30.110275
VULN-ac408297,AST-1006,CVE-2020-1472,3.0,0.019,Low,Open,2026-08-01T19:26:30.110280
VULN-72f39df5,AST-1007,CVE-2019-0708,9.7,0.332,Critical,In Progress,2026-07-11T19:26:30.110287
VULN-7ac01635,AST-1025,CVE-2021-44228,7.3,0.616,High,In Progress,2026-06-18T19:26:30.110293
VULN-c40601ca,AST-1012,CVE-2020-1472,5.9,0.552,Medium,Risk Accepted,2026-07-14T19:26:30.110299
VULN-b6603c13,AST-1030,CVE-2023-23397,4.5,0.095,Medium,Open,2026-08-04T19:26:30.110305
VULN-93002199,AST-1028,CVE-2021-44228,9.1,0.433,Critical,In Progress,2026-08-23T19:26:30.110311
VULN-afac3a33,AST-1035,CVE-2023-23397,8.2,0.827,High,Open,2026-08-05T19:26:30.110317
VULN-6d4fceaf,AST-1014,CVE-2023-23397,9.7,0.203,Critical,Open,2026-07-14T19:26:30.110322
VULN-5ef1c18d,AST-1048,CVE-2021-44228,5.3,0.598,Medium,In Progress,2026-06-04T19:26:30.110328
VULN-3c58133a,AST-1017,CVE-2021-44228,5.4,0.203,Medium,In Progress,2026-06-07T19:26:30.110334
VULN-11e17903,AST-1015,CVE-2019-0708,6.1,0.77,Medium,In Progress,2026-08-28T19:26:30.110340
VULN-27af83e8,AST-1006,CVE-2023-23397,3.5,0.024,Low,Open,2026-07-20T19:26:30.110349
VULN-c9d67fe3,AST-1003,CVE-2020-1472,7.8,0.676,High,Open,2026-06-11T19:26:30.110354
VULN-f91d6c36,AST-1017,CVE-2020-1472,6.8,0.211,Medium,Open,2026-08-06T19:26:30.110362
VULN-21c1d874,AST-1025,CVE-2022-26134,4.1,0.058,Medium,Risk Accepted,2026-08-01T19:26:30.110368
VULN-06f66e89,AST-1025,CVE-2019-0708,3.3,0.054,Low,Open,2026-05-27T19:26:30.110376
VULN-783e0b82,AST-1004,CVE-2021-44228,3.3,0.086,Low,In Progress,2026-08-29T19:26:30.110386
VULN-bd4baa23,AST-1007,CVE-2020-1472,5.0,0.082,Medium,Open,2026-08-29T19:26:30.110418
VULN-5c33f040,AST-1045,CVE-2022-26134,3.2,0.069,Low,In Progress,2026-07-05T19:26:30.110428
VULN-467e3783,AST-1030,CVE-2020-1472,8.3,0.705,High,Open,2026-06-28T19:26:30.110438
VULN-4fcd63b3,AST-1041,CVE-2019-0708,4.7,0.095,Medium,Open,2026-05-31T19:26:30.110448
VULN-f08af460,AST-1043,CVE-2020-1472,7.8,0.589,High,In Progress,2026-06-01T19:26:30.110458
